"foodtype","mealname"
"Hot Dogs","Hotdog, beef wiener + condiments"
"Sandwiches","Chicken sandwich, breaded chicken + condiments + vegetables"
"Sandwiches","Chicken sandwich, grilled chicken + condiments + vegetables"
"Sandwiches","Club sandwich"
"Sandwiches","Fish sandwich with breaded fish"
"Sandwiches","Hot chicken sandwich"
"Sandwiches","Sandwich, egg salad"
"Sandwiches","Sandwich, ham"
"Sandwiches","Sandwich, roast beef, plain"
"Sandwiches","Sandwich, salmon salad"
"Sandwiches","Sandwich, tuna salad"
"Sandwiches","Submarine sandwich (6 inches), vegetarian"
"Sandwiches","Submarine sandwich (6 inches), with cold cuts"
"Sandwiches","Submarine sandwich (6 inches), with grilled/roasted chicken"
"Sandwiches","Submarine sandwich (6 inches), with tuna"
"Sandwiches","Wrap sandwich, chicken ranch"
