,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nutrient Value of Some Common Foods, 2008 Edition",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FATS AND OILS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food name,Measure,Weight ,Energy,Energy,Protein,Carbohydrate,Total Fat,Saturated Fat,Monounsaturated Fat,Polyunsaturated Fat,Trans Fat,Cholesterol,Calcium,Iron,Sodium,Potassium,Magnesium,Phosphorus,Vitamin A,Vitamin D,Vitamin E,,,Vitamin C,Vitamin B12,Dietary Folate Equivalents,Total Sugar,Thiamin,Riboflavin,Niacin,Lycopene,Beta carotene,DHA,EPA,Caffeine,Alcohol,Total Dietary Fibre
,,g,kcal,kJ,g,g,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,RAE,�g,mg,,,mg,�g,�g,g,mg,mg,NE,�g,�g,g,g,mg,g,g
BUTTER AND MARGARINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Becel, tub, calorie-reduced, canola and safflower oils (non-hydrogenated)",5mL,5,17,70,tr,tr,2,0.3,0.8,0.6,tr,0,1,0,46,1,tr,1,48,0.6,0.2,,,tr,tr,tr,0,tr,tr,tr,0,,0.00,0.00,0,0,0.0
"Becel, tub, canola and safflower oils (non-hydrogenated)",5mL,5,34,144,tr,tr,4,0.5,1.7,1.2,tr,0,1,0,52,2,tr,1,48,0.6,0.2,,,tr,tr,tr,0,tr,tr,tr,0,,0.00,0.00,0,0,0.0
Butter,5mL,5,34,144,tr,tr,4,2.5,1.0,0.1,0.2,10,1,tr,28,1,tr,1,33,tr,0.1,,,0,0.01,tr,tr,tr,tr,tr,0,8,0.00,0.00,0,0,0.0
"Chefmaster, tub, unspecified vegetable oils (hydrogenated)",5mL,5,34,144,tr,tr,4,0.5,1.6,0.9,0.5,0,1,0,52,2,tr,1,48,0.6,0.2,,,tr,tr,tr,0,tr,tr,tr,0,,0.00,0.00,0,0,0.0
"Imperial, stick, soy and canola oils (hydrogenated)",5mL,5,34,141,tr,tr,4,0.5,2.5,0.4,1.5,0,tr,tr,31,1,tr,tr,48,0.6,0.3,,,0,tr,tr,0,tr,0.00,tr,0,,0.00,0.00,0,0,0.0
"Imperial, tub, soya oil (non-hydrogenated)",5mL,5,34,144,tr,tr,4,0.9,0.7,1.8,tr,0,1,0,52,2,tr,1,48,0.6,0.2,,,tr,tr,tr,0,tr,tr,tr,0,,0.00,0.00,0,0,0.0
"Lactantia, tub, soya oil (hydrogenated)",5mL,5,34,144,tr,tr,4,0.7,1.3,1.4,0.6,0,1,0,52,2,tr,1,48,0.6,0.2,,,tr,tr,tr,0,tr,tr,tr,0,,0.00,0.00,0,0,0.0
"Margarine, tub, composite",5mL,5,34,144,tr,tr,4,0.6,1.7,1.3,,0,1,0,52,2,tr,1,48,0.6,0.2,,,tr,tr,tr,0,tr,tr,tr,0,,0.00,0.00,0,0,0.0
Spread (20% butter / 80% margarine),5mL,5,34,141,tr,tr,4,1.0,2.2,0.4,1.0,2,1,tr,43,2,tr,1,47,,0.4,,,0,tr,tr,0,tr,tr,tr,,4,0.00,0.00,0,0,0.0
Spread (50% butter / 50% margarine),5mL,5,33,137,tr,tr,4,1.5,1.8,0.2,0.7,5,1,tr,40,2,tr,1,16,0,0.2,,,0,tr,tr,0,tr,tr,tr,0,11,0.00,0.00,0,0,0.0
OILS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canola,15mL,14,125,525,0,0,14,1.0,8.4,4.2,0.3,0,0,0,0,0,0,0,0,0,2.4,,,0,0.00,0,0,0.0,0.00,0.0,0,0,0.00,0.00,0,0,0.0
Corn,15mL,14,122,510,0,0,14,1.8,3.8,7.5,0.1,0,0,0,0,0,0,0,0,0,2.0,,,0,0.00,0,0,0.0,0.00,0.0,0,0,0.00,0.00,0,0,0.0
Flaxseed,15mL,14,122,511,0,0,14,1.4,2.5,9.9,tr,0,0,0,0,0,0,0,0,0,2.4,,,0,0.00,0,0,0.0,0.00,0.0,0,0,0.00,0.00,0,0,0.0
Grapeseed,15mL,14,122,510,0,0,14,1.3,2.2,9.6,,0,0,0,0,0,0,0,0,0,4.0,,,0,0.00,0,0,0.0,0.00,0.0,0,0,0.00,0.00,0,0,0.0
Olive,15mL,14,121,506,0,0,14,1.8,10.1,1.4,tr,0,tr,0.1,tr,0,0,0,0,0,2.0,,,0,0.00,0,0,0.0,0.00,0.0,0,0,0.00,0.00,0,0,0.0
Peanut,15mL,14,121,506,0,0,14,2.3,6.3,4.4,,0,0,tr,0,0,0,0,0,0,2.2,,,0,0.00,0,0,0.0,0.00,0.0,0,0,0.00,0.00,0,0,0.0
Sesame,15mL,14,122,510,0,0,14,2.0,5.5,5.7,,0,0,0,0,0,0,0,0,0,0.2,,,0,0.00,0,0,0.0,0.00,0.0,0,0,0.00,0.00,0,0,0.0
Soybean,15mL,14,122,510,0,0,14,2.0,3.2,8.0,0.2,0,0,tr,0,0,0,0,0,0,1.3,,,0,0.00,0,0,0.0,0.00,0.0,0,0,0.00,0.00,0,0,0.0
Sunflower,15mL,14,122,510,0,0,14,1.4,2.7,9.1,0.1,0,0,0,0,0,0,0,0,0,5.7,,,0,0.00,0,0,0.0,0.00,0.0,0,0,0.00,0.00,0,0,0.0
OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacon grease,15mL,12,110,459,0,0,12,4.8,5.5,1.4,,12,0,0,18,0,0,0,0,0,0.1,,,0,0.00,0,0,0.0,0.00,0.0,0,0,0.00,0.00,0,0,0.0
Lard,15mL,13,117,489,0,0,13,5.2,5.9,1.5,0.2,12,0,0,0,0,0,0,0,0,0.1,,,0,0.00,0,0,0.0,0.00,0.0,0,0,0.00,0.00,0,0,0.0
Shortening,15mL,13,115,481,0,0,13,3.2,5.4,3.7,,0,tr,tr,1,0,0,0,0,0,0.1,,,0,0.00,0,0,tr,0.00,0.0,0,0,0.00,0.00,0,0,0.0
SALAD DRESSINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue cheese,15mL,16,78,327,1,1,8,1.5,1.9,4.3,,3,13,tr,170,6,0,11,10,,0.9,,,tr,0.04,4,1,tr,0.02,0.2,0,3,0.00,0.00,0,0,0.0
"Blue cheese, low Calorie",15mL,16,15,64,1,tr,1,0.4,0.3,0.4,,tr,14,0.1,186,1,1,13,,,tr,,,tr,0.04,tr,tr,tr,0.02,0.2,0,tr,tr,0.00,0,0,0.0
Creamy Caesar,15mL,15,79,329,tr,tr,9,1.3,2.0,4.9,,tr,4,tr,161,4,tr,3,tr,tr,0.8,,,0,tr,tr,tr,tr,tr,tr,0,tr,tr,tr,0,0,tr
"Creamy Caesar, low Calorie",15mL,15,17,70,tr,3,1,0.1,0.2,0.4,,tr,4,tr,164,4,tr,3,tr,0,0.1,,,0,tr,tr,2,tr,tr,tr,0,tr,tr,tr,0,0,tr
"Creamy dressing, fat-free",15mL,16,21,90,tr,5,tr,tr,tr,tr,,0,1,0.1,130,14,tr,0,tr,0,tr,,,0,0.00,2,3,tr,tr,tr,52,6,0.00,0.00,0,0,0.4
French,15mL,16,72,303,tr,2,7,0.9,1.3,3.3,,0,4,0.1,133,11,1,3,4,0,0.8,,,0,0.02,0,3,tr,0.01,tr,59,44,0.00,0.00,0,0,0.0
"French, low fat",15mL,16,33,138,tr,4,2,0.3,0.5,1.2,,0,2,0.1,165,13,0,2,2,0,0.5,,,0,0.00,tr,4,0.0,0.00,tr,633,20,0.00,0.00,0,0,0.0
Italian,15mL,15,43,181,tr,2,4,0.7,0.9,1.9,,0,1,0.1,246,7,tr,1,2,0,0.7,,,0,0.00,0,1,tr,tr,0.0,2,0,0.00,0.00,0,0,0.0
"Italian, low Calorie",15mL,15,11,48,tr,1,1,0.1,0.3,0.3,,1,1,0.1,208,13,1,2,tr,0,tr,,,0,0.00,0,1,0.0,tr,tr,0,1,0.00,0.00,0,0,0.0
Mayonnaise,15mL,14,100,419,tr,1,11,1.7,2.7,6.0,tr,5,3,0.1,79,5,tr,4,11,tr,0.7,,,0,0.04,1,tr,0.0,0.00,tr,0,1,0.00,0.00,0,0,0.0
"Mayonnaise, light",15mL,16,51,215,tr,1,5,0.8,1.3,2.8,tr,6,1,0.1,107,6,tr,6,3,,0.5,,,0,0.00,1,1,tr,0.00,tr,0,15,0.00,0.00,0,0,0.0
"Non creamy dressing, fat-free",15mL,15,7,29,tr,1,tr,tr,tr,tr,,tr,4,0.1,165,15,1,16,tr,0,0.1,,,tr,0.05,2,1,tr,0.01,tr,1,6,0.00,0.00,0,0,0.1
Oil and vinegar,15mL,16,73,305,0,tr,8,1.5,2.4,3.9,,0,0,0,tr,1,0,0,0,0,0.8,,,0,0.00,0,tr,0.0,0.00,0.0,0,0,0.00,0.00,0,0,0.0
Ranch,15mL,15,71,297,tr,1,8,1.2,1.7,4.2,0,5,5,0.1,120,9,1,24,1,tr,0.7,,,tr,0.05,1,tr,tr,0.01,tr,0,tr,0.00,0.00,0,0,0.1
"Ranch, low fat",15mL,16,36,149,tr,3,3,0.2,0.9,0.7,0,3,20,0.1,151,21,1,31,3,tr,0.3,,,tr,0.00,1,1,tr,tr,tr,0,1,0.00,0.00,0,0,0.1
"Salad dressing, mayonnaise type",15mL,15,58,243,tr,4,5,0.7,1.3,2.7,0.4,4,2,tr,106,1,tr,4,3,tr,0.3,,,0,0.03,1,1,tr,tr,tr,0,14,0.00,0.00,0,0,0.0
"Salad dressing, mayonnaise type, fat-free",15mL,16,14,57,tr,3,tr,0.1,0.3,tr,,1,1,tr,128,8,tr,1,0,,tr,,,0,0.00,0,2,0.0,tr,tr,0,0,0.00,0.00,0,0,0.3
"Salad dressing, mayonnaise type, light",15mL,15,44,184,0,2,4,0.2,2.2,1.1,,0,tr,0,117,0,0,,3,,tr,,,0,0.00,,,0.0,0.00,0.0,,,0.00,0.00,0,0,0.0
Thousand Island,15mL,16,59,245,tr,2,6,0.8,1.2,2.9,,4,3,0.2,137,17,1,4,2,,0.6,,,0,0.00,0,2,0.2,0.01,0.1,412,15,0.00,0.00,0,0,0.1
"Thousand Island, low Calorie",15mL,16,32,132,tr,3,2,0.1,1.0,0.4,,tr,2,0.1,129,31,1,2,2,,0.2,,,0,0.00,0,3,tr,0.01,0.1,481,24,0.00,0.00,0,0,0.2
